Name,Artist,Longitude,Latitude,Description
El Tigre,Adam Crawford,-84.3000309,33.7758834,The Decatur Box Project is a public art initiative designed to beautify the intersections of Decatur. The project was organized by Larry Holland of Fishbone Art with the support of the Decatur Arts Alliance and the Decatur Downtown Development Authority.
unknown title,Adam Toksoz,-84.3039842,33.7755657,The Decatur Box Project is a public art initiative designed to beautify the intersections of Decatur. The project was organized by Larry Holland of Fishbone Art with the support of the Decatur Arts Alliance and the Decatur Downtown Development Authority.
Unknown,Alex Santos,-84.2896313,33.7755591,The Decatur Box Project is a public art initiative designed to beautify the intersections of Decatur. The project was organized by Larry Holland of Fishbone Art with the support of the Decatur Arts Alliance and the Decatur Downtown Development Authority.
Southern Electric,Amanda Morris,-84.2986837,33.7744649,The Decatur Box Project is a public art initiative designed to beautify the intersections of Decatur. The project was organized by Larry Holland of Fishbone Art with the support of the Decatur Arts Alliance and the Decatur Downtown Development Authority.
Unknown,Austin Blue,-84.2922825,33.7763673,The Decatur Box Project is a public art initiative designed to beautify the intersections of Decatur. The project was organized by Larry Holland of Fishbone Art with the support of the Decatur Arts Alliance and the Decatur Downtown Development Authority.
Unknown,Catlanta,-84.2966063,33.7737729,The Decatur Box Project is a public art initiative designed to beautify the intersections of Decatur. The project was organized by Larry Holland of Fishbone Art with the support of the Decatur Arts Alliance and the Decatur Downtown Development Authority.
Unknown,Courtney Hicks and Alvarez,-84.2987779,33.7819472,The Decatur Box Project is a public art initiative designed to beautify the intersections of Decatur. The project was organized by Larry Holland of Fishbone Art with the support of the Decatur Arts Alliance and the Decatur Downtown Development Authority.
Unknown,Dan Flores,-84.29279,33.77117,The Decatur Box Project is a public art initiative designed to beautify the intersections of Decatur. The project was organized by Larry Holland of Fishbone Art with the support of the Decatur Arts Alliance and the Decatur Downtown Development Authority.
Unknown,Donna Howells,-84.2945684,33.7745044,The Decatur Box Project is a public art initiative designed to beautify the intersections of Decatur. The project was organized by Larry Holland of Fishbone Art with the support of the Decatur Arts Alliance and the Decatur Downtown Development Authority.
Unknown,"Gerry ""Madness"" Gorman",-84.29518,33.77578,The Decatur Box Project is a public art initiative designed to beautify the intersections of Decatur. The project was organized by Larry Holland of Fishbone Art with the support of the Decatur Arts Alliance and the Decatur Downtown Development Authority.
Calvin,Joe King,-84.292636,33.7777154,The Decatur Box Project is a public art initiative designed to beautify the intersections of Decatur. The project was organized by Larry Holland of Fishbone Art with the support of the Decatur Arts Alliance and the Decatur Downtown Development Authority.
Float,Julie Fordham,-84.2926391,33.7777138,The Decatur Box Project is a public art initiative designed to beautify the intersections of Decatur. The project was organized by Larry Holland of Fishbone Art with the support of the Decatur Arts Alliance and the Decatur Downtown Development Authority.
Hi-Yo!,Killamari,-84.2893116,33.7719325,The Decatur Box Project is a public art initiative designed to beautify the intersections of Decatur. The project was organized by Larry Holland of Fishbone Art with the support of the Decatur Arts Alliance and the Decatur Downtown Development Authority.
Unknown,Krista Jones,-84.293627,33.783624,The Decatur Box Project is a public art initiative designed to beautify the intersections of Decatur. The project was organized by Larry Holland of Fishbone Art with the support of the Decatur Arts Alliance and the Decatur Downtown Development Authority.
Unknown,Larry Holland,-84.2960836,33.7755856,The Decatur Box Project is a public art initiative designed to beautify the intersections of Decatur. The project was organized by Larry Holland of Fishbone Art with the support of the Decatur Arts Alliance and the Decatur Downtown Development Authority.
Unknown,Larry Holland,-84.2915053,33.775106,The Decatur Box Project is a public art initiative designed to beautify the intersections of Decatur. The project was organized by Larry Holland of Fishbone Art with the support of the Decatur Arts Alliance and the Decatur Downtown Development Authority.
Unknown,Lauren Pallotta,-84.2994597,33.7690862,The Decatur Box Project is a public art initiative designed to beautify the intersections of Decatur. The project was organized by Larry Holland of Fishbone Art with the support of the Decatur Arts Alliance and the Decatur Downtown Development Authority.
Unknown,Laurence Laufer,-84.3045557,33.7673206,The Decatur Box Project is a public art initiative designed to beautify the intersections of Decatur. The project was organized by Larry Holland of Fishbone Art with the support of the Decatur Arts Alliance and the Decatur Downtown Development Authority.
Unknown,Mario Daniel,-84.29645,33.76992,The Decatur Box Project is a public art initiative designed to beautify the intersections of Decatur. The project was organized by Larry Holland of Fishbone Art with the support of the Decatur Arts Alliance and the Decatur Downtown Development Authority.
Unknown,Nick Madden,-84.295109,33.773183,The Decatur Box Project is a public art initiative designed to beautify the intersections of Decatur. The project was organized by Larry Holland of Fishbone Art with the support of the Decatur Arts Alliance and the Decatur Downtown Development Authority.
"Fine lines, big teeth",Nick Morris,-84.2988748,33.7735784,The Decatur Box Project is a public art initiative designed to beautify the intersections of Decatur. The project was organized by Larry Holland of Fishbone Art with the support of the Decatur Arts Alliance and the Decatur Downtown Development Authority.
Unknown,Pam Schutty,-84.2948374,33.7777862,The Decatur Box Project is a public art initiative designed to beautify the intersections of Decatur. The project was organized by Larry Holland of Fishbone Art with the support of the Decatur Arts Alliance and the Decatur Downtown Development Authority.
Seeing Without Sight,Sanithna Phansavanh,-84.298539,33.778002,The Decatur Box Project is a public art initiative designed to beautify the intersections of Decatur. The project was organized by Larry Holland of Fishbone Art with the support of the Decatur Arts Alliance and the Decatur Downtown Development Authority.
"Chac Mool, Cenotes",Sara Nguyen,-84.29872,33.77581,The Decatur Box Project is a public art initiative designed to beautify the intersections of Decatur. The project was organized by Larry Holland of Fishbone Art with the support of the Decatur Arts Alliance and the Decatur Downtown Development Authority.
Unknown,sQuishiepuss,-84.305219,33.773308,The Decatur Box Project is a public art initiative designed to beautify the intersections of Decatur. The project was organized by Larry Holland of Fishbone Art with the support of the Decatur Arts Alliance and the Decatur Downtown Development Authority.
Unknown,Vile Kyle,-84.2896376,33.7735214,The Decatur Box Project is a public art initiative designed to beautify the intersections of Decatur. The project was organized by Larry Holland of Fishbone Art with the support of the Decatur Arts Alliance and the Decatur Downtown Development Authority.
John Lewis Hero Mural,Unknown,-84.38038135,33.75527905,"Wall mural of civil rights icon John Lewis in the Sweet Auburn district, corner of Auburn Avenue and Jesse Hill Junior Drive"
Child Dreaming,Unknown,-84.38027146,33.75535289,"Wall mural of child dreaming, sweet Auburn district corner of Auburn Avenue and Jesse Hill Junior Drive"
Through His Eyes,Ralph Hemlock,-84.37779436,33.75541073,"Bronze sculpture of John Wesley Dobbs from 1996, Sweet Auburn district corner of Auburn Avenue and Fort Street"
Unknown ,Unknown ,-84.36792257,33.75737404,"Wall mural, Old Fourth Ward corner of Irwin and Randolph Streets"
Unknown ,Mr Totem?,-84.34988757,33.76393818,"Graffiti mural in Little five points, back parking lot of variety Playhouse "
Unknown ,Unknown ,-84.35049685,33.7636944,"Wall Mural in Little five points, side parking lot of variety Playhouse"
54 Columns,Sol LeWitt,-84.36774102,33.76148073,"54 cinder block columns arranged in a pattern in a vacant lot in the old fourth Ward, corner of Glen Iris Drive & Highland Avenue"
Tribute,Peter Calaboyias,-84.39247833,33.76083833,In Centennial Olympic Park.
Unknown Title,Unknown Artist,-84.39333333,33.76140333,In Centennial Olympic Park.
